Conjunto,Clase,Ruta
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-246.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-338.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-42.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-99.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-263.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-230.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-81.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-281.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-34.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-217.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-24.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-194.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-3.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-118.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-184.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-224.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-274.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-192.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-326.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-202.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-145.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-318.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-117.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-325.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-208.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-9.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-283.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-289.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-287.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-310.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-253.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-8.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-130.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-303.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-110.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-175.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-169.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-174.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-21.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-123.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-186.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-96.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-92.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-101.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-236.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-228.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-57.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-60.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-144.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-59.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-220.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-195.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-45.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-134.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-127.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-301.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-154.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-304.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-30.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-74.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-226.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-155.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-13.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-329.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-133.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-108.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-291.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-168.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-113.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-265.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-38.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-106.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-252.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-44.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-32.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-119.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-266.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-250.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-267.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-292.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-85.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-334.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-181.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-262.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-342.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-306.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-146.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-170.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-47.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-116.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-20.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-309.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-280.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-214.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-197.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-26.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-277.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-41.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-153.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-29.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-316.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-311.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-164.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-201.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-319.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-229.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-156.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-72.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-225.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-211.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-205.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-27.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-124.png
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-75.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-216.jpg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-16.jpeg
train_final,COVID-19,./data/covid-chest-xray/COVID-19/COVID-19-97.jpg
